respondent_id,date_of_birth,gender,county,dependents_category,all_direct_covered,willingness_to_pay,amount_selected,age,age_band
12031263596.0,1980-08-12,Female,Makueni,2-4,Yes,,,45,36–45 years
12031216650.0,1974-11-13,Male,Homa Bay,2-4,Yes,,,51,46–55 years
12030942990.0,1985-03-15,Female,Kakamega,2-4,Yes,,,41,36–45 years
12030838095.0,1990-05-18,Male,Kakamega,2-4,Yes,,,36,36–45 years
12030795983.0,1981-11-17,Male,Mombasa,1-2,Yes,,,44,36–45 years
12030767677.0,1990-07-16,Female,Kakamega,2-4,Yes,,,36,36–45 years
12030760371.0,1960-05-25,Female,Nairobi,1-2,No,Very willing,"Kes 10,000 – Kes 20,000",66,
12030731256.0,1968-10-12,Male,Murang'a,1-2,No,Very unwilling,,57,56–65 years
12030699604.0,1984-06-29,Male,Kakamega,More than 4,No,Unwilling,,42,36–45 years
12030664072.0,1977-11-18,Male,Kilifi,More than 4,No,Unwilling,,48,46–55 years
12030551899.0,1989-10-30,Female,Makueni,2-4,No,Unwilling,,36,36–45 years
12030518672.0,1968-05-23,Male,Taita–Taveta,More than 4,Yes,,,58,56–65 years
12030493552.0,1976-04-29,Female,Kajiado,More than 4,Yes,,"Kes 10,000 – Kes 20,000",50,46–55 years
12030381029.0,1995-07-10,Female,Kiambu,1-2,Yes,,,31,25–35 years
12030371767.0,1976-06-22,Male,Kisumu,More than 4,No,Neutral,,50,46–55 years
12030272500.0,1986-07-23,Male,Siaya,1-2,Yes,,"Kes 20,000 – Kes 30,000",40,36–45 years
12030271937.0,1961-01-01,Female,Siaya,2-4,No,Very willing,"Kes 10,000 – Kes 20,000",65,56–65 years
12030233890.0,1969-07-02,Male,Taita–Taveta,More than 4,Yes,,,57,56–65 years
12030206110.0,2020-09-23,Male,Meru,2-4,Yes,,,5,Less than 25 years
12030194066.0,1978-01-13,Male,Kitui,2-4,Yes,,,48,46–55 years
12030186984.0,1982-05-02,Female,Nyandarua,1-2,Yes,,,44,36–45 years
12030184501.0,2020-09-01,Female,Makueni,More than 4,No,Very unwilling,,5,Less than 25 years
12030176091.0,1990-10-23,Female,Kisii,More than 4,No,Neutral,,35,25–35 years
12030155709.0,1988-11-04,Male,Kisumu,2-4,Yes,,,37,36–45 years
12030144749.0,1977-05-04,Male,Nyandarua,2-4,Yes,,,49,46–55 years
12030138606.0,1975-03-01,Male,Mandera,More than 4,No,Unwilling,,51,46–55 years
12030135753.0,1981-05-14,Female,Siaya,More than 4,Yes,,,45,36–45 years
12030110024.0,1985-03-07,Male,Meru,More than 4,No,Unwilling,,41,36–45 years
12030091799.0,1970-06-25,Male,Migori,More than 4,No,Unwilling,,56,56–65 years
12030063009.0,1968-01-02,Female,Murang'a,2-4,Yes,,,58,56–65 years
12030056391.0,1984-12-30,Female,Nyandarua,2-4,No,Unwilling,,41,36–45 years
12030045242.0,1975-12-12,Male,Migori,More than 4,No,Willing,Less than 10000,50,46–55 years
12030044173.0,1965-02-06,Male,Nyandarua,More than 4,Yes,,,61,56–65 years
12030038744.0,1979-02-19,Male,Migori,More than 4,No,Very willing,Less than 10000,47,46–55 years
12030037521.0,1989-08-08,Male,Kakamega,More than 4,Yes,,,37,36–45 years
12030034424.0,1982-10-17,Male,Kiambu,2-4,No,Very willing,"Kes 10,000 – Kes 20,000",43,36–45 years
12030032268.0,1984-11-19,Male,Siaya,More than 4,Yes,,,41,36–45 years
12030024004.0,1982-02-12,Female,Nyandarua,2-4,Yes,,,44,36–45 years
12030023433.0,1973-12-31,Male,Homa Bay,More than 4,No,Unwilling,,52,46–55 years
12030020475.0,1974-11-15,Female,Murang'a,2-4,Yes,,,51,46–55 years
12030016431.0,1982-02-12,Female,Nyandarua,2-4,Yes,,,44,36–45 years
12030011119.0,2020-09-29,Female,Nyandarua,2-4,Yes,,,5,Less than 25 years
12030007672.0,1993-08-10,Male,Nyamira,More than 4,No,Very willing,"Kes 10,000 – Kes 20,000",33,25–35 years
12029990577.0,2020-09-29,Male,Nyamira,More than 4,No,Very willing,"Kes 10,000 – Kes 20,000",5,Less than 25 years
12029989390.0,1966-11-19,Male,Nyeri,2-4,No,Neutral,,59,56–65 years
12029988437.0,1981-09-01,Male,Nyamira,More than 4,No,Very unwilling,,44,36–45 years
12029985249.0,2020-09-29,Male,Kisii,More than 4,No,Willing,"Kes 10,000 – Kes 20,000",5,Less than 25 years
12029985161.0,1987-02-11,Male,Kitui,More than 4,No,Unwilling,,39,36–45 years
12029983884.0,1980-10-01,Female,Kisii,More than 4,No,Very unwilling,,45,36–45 years
12029981010.0,1985-07-23,Female,Nyamira,More than 4,No,Unwilling,,41,36–45 years
12029974626.0,1976-09-26,Female,Homa Bay,2-4,Yes,,,49,46–55 years
12029972195.0,1977-08-24,Male,Kisii,2-4,Yes,,,48,46–55 years
12029970404.0,1965-09-29,Female,Vihiga,1-2,No,Very willing,"Kes 10,000 – Kes 20,000",60,56–65 years
12029955332.0,1973-02-16,Female,Taita–Taveta,2-4,Yes,,"Kes 10,000 – Kes 20,000",53,46–55 years
12029956985.0,1978-12-24,Female,Nairobi,2-4,Yes,,,47,46–55 years
12029953110.0,1983-11-01,Male,Marsabit,No dependents,Yes,,,42,36–45 years
12029948906.0,1978-12-24,Female,Nairobi,2-4,Yes,,,47,46–55 years
12029944693.0,1982-03-29,Male,Migori,2-4,Yes,,,44,36–45 years
12029936251.0,1983-10-20,Male,Migori,2-4,No,Very unwilling,,42,36–45 years
12029927519.0,1966-03-01,Male,Machakos,More than 4,Yes,,,60,56–65 years
12029920493.0,1966-07-01,Male,Machakos,More than 4,No,Unwilling,,60,56–65 years
12029917125.0,1978-12-31,Male,Siaya,More than 4,No,Very unwilling,,47,46–55 years
12029913690.0,1973-08-16,Male,Siaya,More than 4,No,Very willing,"Kes 10,000 – Kes 20,000",52,46–55 years
12029911753.0,1985-05-30,Female,Kisumu,2-4,Yes,,,41,36–45 years
12029907716.0,1983-10-06,Female,Kitui,2-4,Yes,,,42,36–45 years
12029903498.0,1984-12-29,Male,Kisii,2-4,No,Very willing,"Kes 10,000 – Kes 20,000",41,36–45 years
12029901400.0,1976-06-07,Female,Machakos,More than 4,Yes,,,50,46–55 years
12029894573.0,1987-05-01,Female,Machakos,More than 4,Yes,,,39,36–45 years
12029873574.0,1995-07-10,Female,Kiambu,1-2,Yes,,,31,25–35 years
12029866484.0,1989-03-07,Female,Nyeri,More than 4,No,Unwilling,,37,36–45 years
12029862241.0,1968-04-21,Male,Homa Bay,More than 4,No,Very willing,"Kes 30,000 – Kes 40,000",58,56–65 years
12029861215.0,1980-11-08,Male,Nyeri,More than 4,No,Willing,Less than 10000,45,36–45 years
12029855849.0,1968-04-22,Male,Taita–Taveta,More than 4,No,Willing,"Kes 20,000 – Kes 30,000",58,56–65 years
12029853339.0,2020-09-29,Male,Taita–Taveta,More than 4,Yes,,,5,Less than 25 years
12029842384.0,1970-09-05,Female,Taita–Taveta,2-4,Yes,,,55,46–55 years
12029839773.0,1970-06-16,Male,Taita–Taveta,1-2,Yes,,,56,56–65 years
12029827292.0,1977-06-12,Male,Kitui,1-2,Yes,,,49,46–55 years
12029797585.0,1992-03-10,Male,Lamu,More than 4,No,Willing,"Kes 10,000 – Kes 20,000",34,25–35 years
12029794716.0,1983-05-02,Female,Lamu,2-4,Yes,,,43,36–45 years
12029786694.0,1990-06-11,Female,Lamu,More than 4,No,Willing,"Kes 20,000 – Kes 30,000",36,36–45 years
12029767011.0,1971-09-08,Female,Nyeri,More than 4,No,Unwilling,,54,46–55 years
12029751575.0,1968-08-27,Female,Nyeri,More than 4,No,Very willing,"Kes 10,000 – Kes 20,000",57,56–65 years
12029732469.0,1975-12-14,Female,Taita–Taveta,More than 4,No,Unwilling,,50,46–55 years
12029705639.0,1971-02-04,Male,Nyeri,2-4,Yes,,Less than 10000,55,46–55 years
12029677952.0,1978-09-23,Female,Tharaka-Nithi,1-2,Yes,,,47,46–55 years
12029656220.0,1967-12-07,Female,Kilifi,1-2,No,Willing,"Kes 10,000 – Kes 20,000",58,56–65 years
