Respondent ID,"By completing this survey, you are consenting to us storing and using your data to help us improve our services to you.",Please select your gender ,Kindly select your age group,Please select your respective functional unit from the dropdown below,"Rank the below proposed wellness activities in order of your preference and participation in the year 2025 (1 being the lowest, while 10 being the highest score)",Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - ZUMBA,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - SWIMMING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - HIKING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - CYCLING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - RUNNING,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - FOOTBALL,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - MEN’ S CAVE,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - LADIES CLUB,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - BOOK CLUB,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - DIET/NUTRITION PROGRAMS,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - STAIRCASE/STEP CHALLENGE,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - QUIZ DAYS,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - MEDITATION/YOGA/MUSIC,Ranking Wellness Activity proposed in order of preference/participation 2025(1 least 10 highest) - Other (please specify),Which of the above would you like to join as a champion or a committee member?,Wellness Activity Would Like To Join As Champion or Committee Member - ZUMBA,Wellness Activity Would Like To Join As Champion or Committee Member - SWIMMING,Wellness Activity Would Like To Join As Champion or Committee Member - HIKING,Wellness Activity Would Like To Join As Champion or Committee Member - CYCLING,Wellness Activity Would Like To Join As Champion or Committee Member - RUNNING,Wellness Activity Would Like To Join As Champion or Committee Member - FOOTBALL,Wellness Activity Would Like To Join As Champion or Committee Member - MEN'S CAVE,Wellness Activity Would Like To Join As Champion or Committee Member - LADIES CLUB,Wellness Activity Would Like To Join As Champion or Committee Member - BOOK CLUB,Wellness Activity Would Like To Join As Champion or Committee Member - DIET/NUTRITION PROGRAMS,Wellness Activity Would Like To Join As Champion or Committee Member - STAIRCASE/STEP CHALLENGE,Wellness Activity Would Like To Join As Champion or Committee Member - QUIZ DAYS,Wellness Activity Would Like To Join As Champion or Committee Member - MEDITATION/YOGA/MUSIC,"Please reflect on the Mental wellness-related issues listed below and tick the areas you would like us to address in our regular wellness sessions (where applicable, tick more than one option).",Mental Wellness Issues to Address - Work/job-related stressors,Mental Wellness Issues to Address - Building Healthy families,Mental Wellness Issues to Address - Emotional Wellbeing,Mental Wellness Issues to Address - Financial Wellbeing,"Mental Wellness Issues to Address - Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Mental Wellness Issues to Address - Substance and Drug Dependence,Mental Wellness Issues to Address - Healthy Relationships,Mental Wellness Issues to Address - Unresolved Childhood Difficulties,Mental Wellness Issues to Address - Anxiety and Depression,Mental Wellness Issues to Address - Work-life balance,Mental Wellness Issues to Address - Lifestyle diseases management,Mental Wellness Issues to Address - Effective Parenting skills (Managing children and teenagers),Mental Wellness Issues to Address - Other (please specify),Which of the following training programs would you like to attend?,Training Programs Interested Attending - Mental Health Peer counsellor,Training Programs Interested Attending - Baby minder trainings (training for your nannies),Training Programs Interested Attending - Youth/Peer mentorship program (Training for your adolescent son/daughter),Training Programs Interested Attending - Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),Training Programs Interested Attending - Other (please specify),Which of the health and wellbeing clubs below would you be interested to join?,Health & Wellbeing Clubs Interested Joining - Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Health & Wellbeing Clubs Interested Joining - Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health & Wellbeing Clubs Interested Joining - Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",Health & Wellbeing Clubs Interested Joining - Other (please specify)
114903442059.0,I Agree (Continue with Survey),Male,26-30 years,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114903441005.0,I Agree (Continue with Survey),Female,26-30 years,HR & Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114903440202.0,I Agree (Continue with Survey),Male,26-30 years,Finance,1,1,1,1,6,1,8,1,1,1,1,1,1,1,,,,,,,,FOOTBALL,,,,,,,,,,,,,,,,,,Work-life balance,,,,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114903428538.0,I Agree (Continue with Survey),Male,31-35 years,Finance,9,2,9,9,10,10,10,,1,5,4,6,8,2,,,,,,,,FOOTBALL,,,,,,,,Personal issues,Work/job-related stressors,Building Healthy families,,Financial Wellbeing,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114903431592.0,I Agree (Continue with Survey),Female,26-30 years,Retail,1,1,1,4,1,10,5,1,8,1,2,10,10,10,,GYM/AEROBICS,,,HIKING,,,,,LADIES CLUB,,,STAIRCASE/STEP CHALLENGE,QUIZ DAYS,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114903434894.0,I Agree (Continue with Survey),Male,26-30 years,Legal,8,,,10,,,,8,,8,,,,,,,,,HIKING,,,,,,BOOK CLUB,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114903433190.0,I Agree (Continue with Survey),Male,36-40 years,Finance,2,2,6,6,6,6,9,5,1,1,9,9,7,7,,,,,,CYCLING,,FOOTBALL,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,,,,,,,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,Mental Health Peer counsellor,,,,,,,,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114903434113.0,I Agree (Continue with Survey),Male,31-35 years,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114903431962.0,I Agree (Continue with Survey),Female,26-30 years,Customer Care,1,1,1,1,1,1,1,1,1,1,1,9,2,1,,GYM/AEROBICS,ZUMBA,,,,,,,,BOOK CLUB,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,,Financial Wellbeing,,,Healthy Relationships,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114903430996.0,I Agree (Continue with Survey),Female,26-30 years,Legal,,,10,,,,,,10,,,,,,,,,SWIMMING,,,,,,LADIES CLUB,,,,,,,Work/job-related stressors,,,,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,,Unresolved Childhood Difficulties,,Work-life balance,,Effective Parenting skills (Managing children and teenagers),,,,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,
114903429548.0,I Agree (Continue with Survey),Female,21-25years,Retail,1,1,1,5,1,10,1,1,10,10,10,10,7,6,Hygiene,GYM/AEROBICS,,,HIKING,,,,,LADIES CLUB,BOOK CLUB,,STAIRCASE/STEP CHALLENGE,QUIZ DAYS,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",,Healthy Relationships,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114903430046.0,I Agree (Continue with Survey),Male,31-35 years,Marketing & BD,2,1,6,2,2,4,5,4,2,1,2,3,2,2,,GYM/AEROBICS,,SWIMMING,HIKING,CYCLING,RUNNING,FOOTBALL,,,,DIET/NUTRITION PROGRAMS,,,,Personal issues,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,"Overcoming Trauma (Coping mechanisms after a traumatic experience- Physical, emotional, Psychological etc.)",Substance and Drug Dependence,Healthy Relationships,Unresolved Childhood Difficulties,Anxiety and Depression,Work-life balance,Lifestyle diseases management,Effective Parenting skills (Managing children and teenagers),,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,Baby minder trainings (training for your nannies),Youth/Peer mentorship program (Training for your adolescent son/daughter),Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114903426130.0,I Agree (Continue with Survey),Male,21-25years,Marketing & BD,10,4,3,9,10,9,10,7,1,2,10,7,7,5,,GYM/AEROBICS,,,,,,,,,,,,,,Personal issues,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,Anxiety and Depression,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)","Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114903426134.0,I Agree (Continue with Survey),Female,41-45 years,Retail,6,4,3,2,1,2,1,,1,1,6,4,2,1,,GYM/AEROBICS,,,,,,,,,,DIET/NUTRITION PROGRAMS,,,,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,Youth/Peer mentorship program (Training for your adolescent son/daughter),,,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,"Health club (Those interested in healthy living aspects; healthy eating, exercising, health promotion etc.)",
114903426697.0,I Agree (Continue with Survey),Female,26-30 years,Finance,8,8,5,1,5,5,1,1,1,5,6,7,1,1,,,ZUMBA,,,,,,,,,,,,,,Work/job-related stressors,Building Healthy families,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,Lifestyle diseases management,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114903427306.0,I Agree (Continue with Survey),Female,21-25years,Retail,9,4,2,6,5,5,9,1,2,10,6,7,2,8,,GYM/AEROBICS,,,,,,,,LADIES CLUB,BOOK CLUB,,,,MEDITATION/YOGA/MUSIC,,Work/job-related stressors,,Emotional Wellbeing,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,Mental Health Peer counsellor,,,,,"Thrive club (Those living positively with a life’s challenging phenomena; Disease, Disability etc.)",,,,
114903426840.0,I Agree (Continue with Survey),Male,31-35 years,Retail,2,1,10,5,8,10,10,9,1,5,5,10,5,1,none,,,,,,,FOOTBALL,,,,,,,,,Work/job-related stressors,,,,,,Healthy Relationships,,,,,Effective Parenting skills (Managing children and teenagers),,,,,,Family Health program- relationships/ Marriage issues/ Parenting (Training for couples),,,Soul food (Overcomers of a challenging or difficult situation in life; from grass to grace),,,
114903427840.0,I Agree (Continue with Survey),Male,31-35 years,Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114901988521.0,I Agree (Continue with Survey),Female,31-35 years,Fleet Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114903380884.0,I Agree (Continue with Survey),Male,Below 20 years,Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114901998626.0,I Agree (Continue with Survey),Male,41-45 years,HR & Admin,10,5,1,2,9,6,5,3,,,2,4,3,7,,GYM/AEROBICS,,,,,,,,,,,,,,,Work/job-related stressors,,,Financial Wellbeing,,,,,,Work-life balance,,,,Wellness coordinators/ Ambassador for Change,,,,,,,,"Nurture Club (Those supporting young people through mentorship, coaching, career progressions)",,
114901975068.0,I Agree (Continue with Survey),Male,26-30 years,HR & Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
